No.,storeNumber,countryCode,ownershipTypeCode,latitude,longitude,address,city,countrySubdivisionCode,postalCode,windowsTimeZoneId,GMT,GMT_region,Mon_open,Mon_close,Tue_open,Tue_close,Wed_open,Wed_close,Thu_open,Thu_close,Fri_open,Fri_close,Sat_open,Sat_close,Sun_open,Sun_close
16603,30802-102739,JP,CO,33.279979,131.505844,2-9-1 Kitahama,beppu,44,874-8558,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16604,59221-293427,JP,CO,33.281436,131.493742,2780-28 Nishinoguchimachi,beppu,44,874-0931,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16605,58793-293040,JP,CO,33.236478999999996,131.607666,2-1-4 Funaicho,oita,44,870-8688,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16606,26254-225985,JP,CO,33.233071,131.606786,1-14 Kanamemachi,oita,44,870-0831,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16607,26868-244576,JP,CO,33.212383,131.596576,3-2-6 Futamatamachi,oita,44,870-0854,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16608,30183-31162,JP,CO,33.188212,131.581582,755-1 Kusumoto Tamazawa,oita,44,870-1155,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16609,17522-178925,JP,CO,33.230607,131.634942,3-25-16 Shimogorikita,oita,44,870-0952,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16610,30352-73986,JP,CO,33.19569,131.656915,2-1 Koendorinishi,oita,44,870-0174,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16611,52837-283264,JP,LS,32.590559999999996,131.672583,3-4266-5 Saiwaimachi,nobeoka,45,882-0053,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16612,23617-231665,JP,CO,35.731231,139.707986,3-28-14 Nishiikebukuro,toshima-ku,13,171-0021,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
